,author_name,published_date,updated_date,like_count,text
34,Ambo anbo,2022-09-21T09:09:16Z,2022-09-21T09:09:16Z,0,Kita negara demokrasi tp jgn merusak fasilitas publik semua pasti marah BBM naik .sampaikan dengan tertib tak ada solusi nya dengan amarah sampaikan dengan bpk presiden pak Jokowi bagaimana kabinet Anda tak pro rakyat harga BBM naik otomatis semua bahan pokok naik yg sangat miris negara kita kaya sumber minyak alam    knp jd kosong BBM .. KOTA BALIKPAPAN KOTA MINYAAK
35,Rahmat Effendi,2022-09-21T07:01:58Z,2022-09-21T07:01:58Z,0,Demo para sopir angkot ya
36,Zonder Kids,2022-09-21T00:40:11Z,2022-09-21T00:40:11Z,0,"jangan pilih presiden jakarta, presiden jakarta tidak bisa mensejahterakan rakyat, presiden jakarta menaikkan harga BBM"
37,Yanto Rimbo,2022-09-20T17:20:29Z,2022-09-20T17:20:29Z,0,"Lawan terus sodara, masih bnyk masyarat drpd oknum ny"
38,Ipung 5857,2022-09-20T15:00:29Z,2022-09-20T15:00:29Z,0,BUBARKAN DPR....MPR..TK DA GUNANYA CUMA HABISIN DUIT ANGGARAN....!!!!!<br><br>REVOLUSI<br><br>REVOLUSI
39,boytz1087,2022-09-20T04:10:52Z,2022-09-20T04:10:52Z,1,Cabut kenaikan BBM
40,Eva Well,2022-09-19T23:31:12Z,2022-09-19T23:31:12Z,0,Doaku bersamamu yg berjuang semoga sukses hancurkannn
41,Alimuddin Bppn,2022-09-19T18:21:10Z,2022-09-19T18:21:10Z,0,"maaf sebelumnya bercerita sedikit, umur saya sekarang 46 tahun, Pada jamannya Presiden Soeharto sampai jamannya Jokowi , yg saya rasakan jamannya Jokowi lah saya anggap saya mampu, saya seorang petani orang tua saya pun dulu juga petani tapi di jaman Suharto apa2 murah tapi kita sekeluarga gk mampu beli kalau buat makan cukup tapi untuk lebih dari itu kami gk mampu.sepeda motor murah , BBM murah tapi tetap aja kami naik angkot, itupun jarang ada lewat, sepeda ontel lah yg bisa buat berkendara..sekarang Era Jokowi bisa di katakan Apa2 mahal BBM mahal tapi saya bisa Beli Sepeda motor punya lebih dari 1 walapun bisanya lewat cridit, tapi saya bisa punya, mampu juga beli, jadi intinya gk usah munafik, jadi kita yg sudah berumur 40 th ke atas berilah nasihat ke anak2 kita bahwa banyak perbedaan dulu dengan sekarang sekarng itu lebih baik daripada yg terdahulu, kasian anak2 khususnya mahasiswa Berdemo berjilid jilid buat apa gak ada gunanya,yg di bela siapa,, 😭 gk ada yg di perjuangkan apa tetap juga gak ada 😭"
42,Shera Channel,2022-09-19T16:10:13Z,2022-09-19T16:10:13Z,0,Sudah saatnya menggunskan kendaraan bertenaga listrik.
43,Fhakril Gibran-Algifary,2022-09-18T08:37:50Z,2022-09-18T08:37:50Z,0,Tidak usah banyak bicara yang kberatan ke naikan bbm ato tidak suka kpemerintahan pak jokowi minggat saja dri indonesia ke ukraina aja tuh biar jdi santapan rudal kake putin🤣lemes klian smua 🤣
44,Afifuddin Afifuddin,2022-09-17T14:13:59Z,2022-09-17T14:13:59Z,0,"Saya bangga dengan pak jokow,pak jokowi adalah bapak persatuan bangsa dari sabang sampai maroke sebentar saja bisa kumpul di seluruh daerah sekarang kumpul sungguh luar biasa pak jokowi"
45,Selalu dibodohi,2022-09-16T16:39:58Z,2022-09-16T16:39:58Z,0,Knp polisi gk ikut demo jg tolak bbm naik.. km enak gaji umr.<br>Sodara2 ipar kake mantu mertua km klo susah kasian isi bensin buat kmna2 mahal..pikirin orang lain jgn pikirin perut sendiri.
46,Feb Buari,2022-09-16T16:08:31Z,2022-09-16T16:08:31Z,0,Ini lah mau nya pemerintah sama rakyat nya Jagan main2 SMA rakyat nya pemerintah jika tetap begini akan ada bakar besar2 RAN nati hancur lah kotanya masing2
47,hasrul hasrul,2022-09-16T00:25:04Z,2022-09-16T00:25:04Z,0,Sudah apa jadi dong ribut ribut
48,Rantau jalanan,2022-09-15T16:55:31Z,2022-09-15T16:55:31Z,0,"demo it damai bukan demo yg  anarkis  dan tak ada etika sopan santun sama skli ,sampaikan aspirasi yg sopan dan wibawa agar elok di lihat oleh publik"
