,author_name,published_date,updated_date,like_count,text
967,renaldi tambobaya,2022-04-12T02:28:42Z,2022-04-12T02:28:42Z,0,Percuma ngasi orasi gk bkln di dengerin 😂😂 kecuali duduki gedung DPR/MPR . Seperti jaman dulu suharto . Saya jamin di dengerin 😁😁😁
968,gacor gaes,2022-04-12T02:28:28Z,2022-04-12T02:28:28Z,0,Alhamdulillah q baek²....senantiasa bersyukur....<br>Ioio guegue gmna......<br>Alhaammmdulillaaaah
969,m game,2022-04-12T02:28:11Z,2022-04-12T02:28:11Z,0,"Kan ape gue bilang makassar ngak ada lawan💪cuman ada d makassar lawan mereka😏ricuh lagi, mudah2han mahasiswa d lindungi amin🙏🙏"
970,Adhe Stevens Kristen,2022-04-12T02:26:24Z,2022-04-12T02:26:24Z,1,Awas polisi jokowi licik dan bajingan
971,HB Ardomasni,2022-04-12T02:26:20Z,2022-04-12T02:26:20Z,1,Yang bikin rusuh para pelajar... Anggota BEM? 😅
972,Kosim Ali All Jabari,2022-04-12T02:23:15Z,2022-04-12T02:23:15Z,0,pendemo itu di temui bukan di halangi kan jadinya ricuh gini
973,Singa Hitam,2022-04-12T02:22:55Z,2022-04-12T02:22:55Z,1,Yang Tidak Pakai Almamater Tangkap !!!!
974,Aden Ganteng,2022-04-12T02:21:24Z,2022-04-12T02:21:24Z,0,"Terus berjuang&amp;semangat para mahasiswa,semoga migor dll hrgnya bisa turun&amp;murah demi kesejahteraan rakyat indonesia."
975,anak rantau anak rantau,2022-04-12T02:20:47Z,2022-04-12T02:20:47Z,0,"udah kyk gn sp yg brtnggung jwab,"
976,Cacak Irvianto,2022-04-12T02:19:31Z,2022-04-12T02:19:31Z,1,Mahasiswa kok kaya anak* ngakunya mau menyampaikan aspirasi ke wakil rakyat tapi malah buat onar pada kagak lulus kuliah atau gmn??
977,Jaelani Suud,2022-04-12T02:18:09Z,2022-04-12T02:18:09Z,0,Lebih baik mati daripada dijajah di negri sndiri
978,Sofie Kartini,2022-04-12T02:15:38Z,2022-04-12T02:15:38Z,0,Mana pimpinan DPR puan maharani temui mahasiswa yg demo?Allah minta tanggung jawabmu didunia diakhirat lo...
979,Jaelani Suud,2022-04-12T02:14:08Z,2022-04-12T02:14:08Z,0,Tangkap org2 yg mrencanakn 3priode
980,Bongas,2022-04-12T02:13:32Z,2022-04-12T02:13:32Z,0,Liat pejabat kita kebanyakan pengusaha....apa mereka peduli Rakyat?
981,Ikhsan Haris,2022-04-12T02:13:02Z,2022-04-12T02:13:02Z,11,YA Allah para mahasiswa semoga selalu dilindungi Allah SWT 🤲🤲🤲
982,Sugianto Sugi,2022-04-12T02:12:53Z,2022-04-12T02:12:53Z,0,lanjutkan mahasiswa ku
983,ezer sao,2022-04-12T02:12:34Z,2022-04-12T02:12:34Z,0,"Yang anarkis hukum seberatberatnya, makar nih.."
984,agus agus,2022-04-12T02:12:20Z,2022-04-12T02:14:48Z,1,"mahasiswa,anak stm,rakyat semuanya luar biasa salam dari jawa timur"
985,Hendra Sunandar,2022-04-12T02:12:17Z,2022-04-12T02:12:17Z,0,Trs kapan demo hukuman buat pra koruptor pdhl koruptor masalah no 1 di indonesia bhkan dunia
986,Khoirul Anam,2022-04-12T02:09:31Z,2022-04-12T02:09:31Z,0,Terus
987,DRAGONFF GAMING,2022-04-12T02:07:58Z,2022-04-12T02:07:58Z,1,jmn suharto Dan gusdur kan beda lgi sm jmn bp jokowi. jngn di samain..
988,Al - Fayed,2022-04-12T02:07:48Z,2022-04-12T02:07:48Z,0,"Coba jangan lari klo niat memperjuangkan tuntutannya, semprot air aja lari terbirit2"
989,Jaelani Suud,2022-04-12T02:07:38Z,2022-04-12T02:07:38Z,0,Dubhanallah begitu byk korban dari dua pihak cm gara2 segelintir org memperkaya diri
990,Cahyana Motor,2022-04-12T02:07:24Z,2022-04-12T02:07:24Z,0,Seharus nya pak persiden jokowi bilang ke warga negara nkri bilang saya menolak 3 priode.mungkin baru tenang mahasiswa
991,Indah Junarti,2022-04-12T02:05:58Z,2022-04-12T02:05:58Z,0,"maju terus,......alhamdulillahmahasiswa sudah bangun"
992,Jejak Penjuru,2022-04-12T02:04:45Z,2022-04-12T02:05:49Z,0,Yg jdi korban adlah masiswa dan aparat polri mreka hrus berhadapan bgaimna tidak polri mngemban tugas mengamankan sdangkan mhasiswa menyuarakan aspirasi masyrakat dan situasi ini akan trus berlanjut dan bahkan akan lbih prah jika wcana 3 periode masih trus di plokmirkan.<br>So mri kita berfikir siapa yg mnderita di balik kebijakan pmerintah ini mampukah kita berthan terhadap lonjakan kbutuhan hdup ini.<br>Wahai anda pra wkil rakyat cba anda rnungkan kmi rakyat klangan bwah yang hnya mngandlkan hsil bumi untuk brthan hdup. Anda prlu tau bhwa hri ini dtik ini hsil bumi kmi dbli dngan harga rendah smentra hrga sembako smakin mroket.<br>Ini sperti kita merayakan hri ulang tahun bgaimna tdak dmikian setiap mndekati hari raya sdah dpat dpstikan smua kbtuhan pkok naiknya tdak terkndali APAKAH INI BUDAYA BARU ATAU BAGAIMANA.<br>MIKERRRRRR........
993,baradha A,2022-04-12T02:04:18Z,2022-04-12T02:04:18Z,0,"Sang pembela rakyat ,sebelum menjadi pejabat."
994,RD,2022-04-12T02:03:40Z,2022-04-12T02:03:40Z,0,"miris,."
995,Febiola,2022-04-12T02:03:16Z,2022-04-12T02:03:16Z,0,Siapakah aktornya dibalik ini?? tangkap
996,haji kempis,2022-04-12T02:02:10Z,2022-04-12T02:02:10Z,0,Kerjaan opung pengen 3 periode bikin kekacawan
997,Muhammad Soba,2022-04-12T02:02:09Z,2022-04-12T02:02:09Z,0,"Biarkan mahasiswa demo,sesuai dengan  UUD 45, dijamin oleh undang undang"
998,kagsv Jdnxcx,2022-04-12T02:01:31Z,2022-04-12T02:01:31Z,0,kalau masyarakat sudah tidak mau dipimpin oleh Jokowi. Berarti harus Legowo.. Bukannya ngotot pengen lagi.karena sudah kelihatan belangnya
999,game spot,2022-04-12T02:01:16Z,2022-04-12T02:01:16Z,0,Mntap..trus berjuang rakyat mahasis wa buruh
1000,Dani Ramdani,2022-04-12T02:00:49Z,2022-04-12T02:00:49Z,0,jangan kendor demo terus sampai pemerintahan bikin susah rakyat tumbang
1001,Jay Mar,2022-04-12T01:55:39Z,2022-04-12T01:55:39Z,0,Jangan nengok uang terobos terus.
1002,Rer Ja,2022-04-12T01:54:02Z,2022-04-12T01:54:02Z,0,Apakah ada anak polisi ini jadi mahasiswa yg ikut demo?
1003,Lukman ABA,2022-04-12T01:50:04Z,2022-04-12T01:50:04Z,0,Semangat Untuk Mahasiswa
1004,Regen Sevtalathu,2022-04-12T01:49:36Z,2022-04-12T01:49:36Z,0,Wkwkwkw kecele dah kebaca mau bikin rusuh...demo serentak kok ricuh semuanya.
1005,!?,2022-04-12T01:49:24Z,2022-04-12T01:49:24Z,0,"Ikutin aja prosedur wak , batas 2 periode ya 2 aja,  ngapain terlalu rakus ?"
1006,Mar'i Muhammad Sitorus,2022-04-12T01:48:49Z,2022-04-12T01:48:49Z,0,Sulawesi mantap 🙏
1007,Sul Kifli,2022-04-12T01:48:21Z,2022-04-12T01:48:21Z,0,"Pak kalo anda mau unjuk rasa ini yg terakhir,<br>Tanya MENTRI atau anggota DPR,<br>jangan asal² menaikan BBM atau melanggar hukum"
1008,Deon Azka,2022-04-12T01:48:14Z,2022-04-12T01:48:14Z,0,Hah..ngerepotin banyak pihak...tiada guna
1009,Owie Ganteng,2022-04-12T01:48:00Z,2022-04-12T01:48:00Z,0,Bobroknya negriku.... Rip. Minyak goreng
1010,Agus Rudiana,2022-04-12T01:47:19Z,2022-04-12T01:47:19Z,5,Tidak akan ada asap kalo tidak ada api!<br>Tidak akan ada Demonstrasi kalau tidak ada yg salah di negeri ini.<br>Demo damai untuk INDONESIA👍
1011,Vian Ndhika,2022-04-12T01:47:02Z,2022-04-12T01:47:02Z,0,SBY saya prihatin.... 😁😁😁Rasakno jok jok... Emang enak rakyatmu podo demo ujar mu pueeennnnakkkk dadi president
1012,Omah Cantik,2022-04-12T01:47:01Z,2022-04-12T01:48:27Z,1,Semoga perjuangan kalian sukses ...<br>Pengorbanan kalia  tidak akan sia2...<br>Selamat berjuan anak2u<br>Semoga semangat kalian makin membara ..<br>Aamiin yra ...kalian adalah pejuang sejati
1013,Ahmad Fahroza Roza,2022-04-12T01:45:34Z,2022-04-12T01:45:34Z,0,"Ya gimana lah pak, hutan sudah banyak yg jadi ladang sawit, tapi gitu pun bisa langka nd mahal minyak goreng, apa gak aneh begitu.???"
1014,Olben Oey,2022-04-12T01:45:08Z,2022-04-12T01:45:08Z,1,"Wow.. Pas ngerusuh berani seperti hariamu, eh pas ketangkep kek ikan teri."
1015,junita Ginting,2022-04-12T01:43:13Z,2022-04-12T01:43:13Z,1,"Seluruh dunia mengalami hal yg sama,bukan hanya Indonesia<br>Mau gimna lagi ,ini kan semua dari akibat covit"
1016,Yandi,2022-04-12T01:42:43Z,2022-04-12T01:45:22Z,0,Pak luhut mana pak luhut yg bikin kontroversi 3 priode tanpa pemilu kok gk nongol malah ngumpet takut ya wkkwwk😂 mohon maaf pak Kapolda yg bikin rusuh bukan mahasiswa atau pelajar itu yg bikin kontroversi 3 priode makannya rusuh
