,author_name,published_date,updated_date,like_count,text
48,fajar muslim,2020-10-24T21:42:04Z,2020-10-24T21:42:04Z,0,Demo boleh demo tapi harus sesuai jangan kaya preman merusak pasilitas
49,4KHA_Abdullah Zayidh,2020-10-24T16:41:47Z,2020-10-24T16:41:47Z,1,"Hahahahahha, auto indonesia ni kene covid lah kot, yela, bkn sebab ape.. tapi skrng kn tengah musim covid, pastu bntah2 cmtu.. I can feel, covid diorng ni makin menmbah lebih banyk la<br><br>Tula , lain kali nk rusuh2 tu , buat la dalam online, rusuh2 cmtu gak , bukan dpt majukn negaRa pon, hrp2 pin la massage ni, bagi korng insaf lh yee. That all from me, thank you !!"
50,Saza Syahiran,2020-10-24T10:20:21Z,2020-10-24T10:20:21Z,0,Hellow siapa mahu wang percuma dari 🇲🇾 sila comments
51,Helmy Hussein,2020-10-23T22:49:19Z,2020-10-23T22:49:19Z,0,Indon ker nie...mak aih...teruknya...
52,BIG BOSS STUDIO,2020-10-23T13:01:38Z,2020-10-23T13:01:38Z,0,Rusuh terus kalian. Kami negara jiran saling ketawa melihat kalian yg tidak bersatu . Hahaha
53,SABAHAN D BAWAH BAYU,2020-10-23T04:53:40Z,2020-10-23T04:53:40Z,0,Bincang baik2 dgn ketua perusuh nya... kesian rakyat dan juga bnyk pastinya kerosakan pda Harta benda awam....bantulah negara serumpun kmi ini... mereka dalam musibah yg berat...
54,QiEY IsHAk,2020-10-23T02:46:57Z,2020-10-23T02:46:57Z,0,Moga kembali seperti sediakala...
55,Cuan Ciak,2020-10-22T22:11:28Z,2020-10-22T22:11:28Z,0,KETUA KSPI SAID SI TUKANG PROVOKATOR. MINTA TOLONG DI TANGKAP. JIKA PERLU DI BANTAI DIBUNUH JUGA LEBIH BAGUS. BIKIN SUSAH NEGARA KEPOLISIAN DAN TNI. KETUA BEM JUGA DI TANGKAP DAN DISIKSA. TIDAK PERLU MANDANG HAM. ORANG2 MERUSAK NEGARA TIDAK PERLU ADANYA HAM.
56,Cuan Ciak,2020-10-22T22:10:31Z,2020-10-22T22:10:31Z,0,KETUA KSPI SAID SI TUKANG PROVOKATOR. MINTA TOLONG DI TANGKAP. JIKA PERLU DI BANTAI. BIKIN SUSAH NEGARA KEPOLISIAN DAN TNI. KETUA BEM JUGA DI TANGKAP DAN DISIKSA. TIDAK PERLU MANDANG HAM. ORANG2 MERUSAK NEGARA TIDAK PERLU ADANYA HAM.
57,Cuan Ciak,2020-10-22T22:10:18Z,2020-10-22T22:10:18Z,0,KETUA KSPI SAID SI TUKANG PROVOKATOR. MINTA TOLONG DI TANGKAP. JIKA PERLU DI BANTAI. BIKIN SUSAH NEGARA KEPOLISIAN DAN TNI. KETUA BEM JUGA DI TANGKAP DAN DISIKSA. TIDAK PERLU MANDANG HAM. ORANG2 MERUSAK NEGARA TIDAK PERLU ADANYA HAM.
58,Cuan Ciak,2020-10-22T16:33:36Z,2020-10-22T16:33:36Z,0,SAMPAIKAN KEPADA KEPOLISIAN RI. KETUA KSPI dan Ketua BEM PROVOKATOR BANGSA. PEMECAH BELAH NEGARA RI. MEREKA BIKIN KERUSUHAN TERUS DIMANA2. TOLONG DITANGKAP. SAYA SEBAGAI WARGA NEGARA SANGAT JENGKEL DENGAN KETUA KSPI SAID  BLOON. YG SELALU MENGERAKKAN BURUH. UJUNG2NYA BURUH DI PHK DAN INVESTOR TUTUP PABRIIK. KETUA KSPI SI SAID BLOON KEMANA PERGINYA. PEKERJAKAN BURUH YG DI PHK??
