,author_name,published_date,updated_date,like_count,text
63,Pencari Tuhan,2020-10-16T01:22:47Z,2020-10-16T01:25:58Z,0,"sEMOGA  Demo Yg murni Damai tuntutanya di penuhi DPR, dan Demo yg Anarkhis semoga diberikan Hidayah sama Alloh SWT.... sehingga demo anarkhis tdk terjadi lagi... karena sangat merugikan masyarakat... untuk Pak Polisi semoga diberikan keselamatan dalam bertugas... Aminnn Y Robb.... utuk media BBC Mohon dalam pemberitaanya berimbang.Coba dilihat juga kerusakan yg diakibatkan oleh demo yg anarkhis.. coba lihat aparat yg yg dilempar baom molotof.. coba lihat aparat yg dilempar dengan kotoran manusia.. dan lainnya..... harus tabayaun dulu.... jgn sampai gara - gara berita seperti ini ANDA akan mempertanggungjawabkan di dunia dan akhirat kelak... dan dihisab sama Alloh lama sekali..... SEMOGA INDONESIA DAMAI SELALU.... SEPERTI HIDUP DI DESA... UDARA SEGAR BANYAK SESAWAHAN AIRNYA MENGALIR JERNIH... UDARA SEJUK... SALAING BANTU MEMBANTU SESAMA TETANGGA.. TIDAK MENJADIKAN UANG NOMER 1 DALAM TOLONG MENOLONG....."
64,AlgiFari,2020-10-16T00:58:02Z,2020-10-16T00:58:02Z,0,&quot;SEMANGAT RAKYAT INDONESIA&quot;  <br><br>&quot;I LOVE INDONESIA&quot;
65,Abdul Azis,2020-10-15T23:54:58Z,2020-10-15T23:54:58Z,0,Trmksih bpk presiden kami bngga kbijakan pmrntah
66,Tony trubos,2020-10-15T23:14:22Z,2020-10-15T23:14:22Z,0,Katanya polisi itu pembela rakyat. Lah iki kok malah sng salab malah di belain. Harusnya bela yg benar bukan malah bela yg salah!!
67,nodreterdramec brevert,2020-10-15T23:12:56Z,2020-10-15T23:12:56Z,0,"POLRI SERING DI CACI-MAKI,  NAMUN POLRI TETAP SETIA MELAYANI MASYARAKAT  YG KENA MUSIBAH BEGAL, RAMPOK, KASUS PEMBANTAIAN ,MAUPUN YG MENGURUS SKCK CALON PEKERJA."
68,IDE BISNIS UNTUK UMAT,2020-10-15T19:48:41Z,2020-10-15T19:48:41Z,0,dinegara merdeka watak polisinya kayak polisi Belanda penjajah
69,mohamad najib Najib,2020-10-15T18:35:38Z,2020-10-15T18:35:38Z,0,Ak cuman kuli bangunan tak mlorok wae rejeki wes di atur nrimo eng pandum...
70,Elsa Wulandari,2020-10-15T17:22:46Z,2020-10-15T17:22:46Z,0,Maaf pak kami sudah kecewa dan tidak percaya kalian
71,off wars,2020-10-15T16:11:21Z,2020-10-15T16:14:47Z,0,"dithailan yg monarki tidak sebrutal itu, ini negara demokrasi gampang bngt ngumbar gas air mata."
72,spider wilson,2020-10-15T16:02:40Z,2020-10-15T16:02:40Z,1,TRAGEDI 1998 SEMOGA TIDAK TERULANG YA TEMAN TEMAN.
73,spider wilson,2020-10-15T15:52:14Z,2020-10-15T15:52:14Z,0,"Makanya jangan suka bohong, sekali nya ngomong bener,ga akan di percaya sama rakyat."
74,MT MP,2020-10-15T13:04:30Z,2020-10-15T13:04:30Z,0,Demokrasi kaleng-kaleng
75,Fara Madani Almizan,2020-10-15T12:05:30Z,2020-10-15T12:05:30Z,0,"kalo ada disinformasi di sampaikan yang benarnya dong pak, draft nya di tunjukkan, jangan seperti di tutup tutupi"
76,CancelOK,2020-10-15T11:29:32Z,2020-10-15T11:29:32Z,0,Ayuh! Polisi bantai para anarkis yang membuta tuli menghancurkan harta rakyat.
77,Jimmi FX,2020-10-15T11:00:24Z,2020-10-15T11:00:24Z,0,Mau demo silakan tp jangan ANARKIS dong..kita masyarakat jg kesel kl anarkis..kita yg dagang sepi..gk nyalahin pak polisi lha mmg anarkis mahasiswa demo campur provokator..gk da bedanya..anarkis merugikan..gk keren skli
78,abel ajalah geam stoon,2020-10-15T10:06:41Z,2020-10-15T10:06:41Z,0,siapa yg mninndas elo elo baca ga uu nya
79,abel ajalah geam stoon,2020-10-15T10:05:52Z,2020-10-15T10:05:52Z,0,pukul saja org anarkis ko kalin lempar polisi dgn batu dangn bom molotop kalian bawa masa polisi jarus diam saja polisi jugaanusia biar kmu rasakan bagai mn rasannya di lempar batu dan api dari bom molotop yg kalian nawa bajingn kmu
80,maryati djamal,2020-10-15T07:02:06Z,2020-10-15T07:02:06Z,0,Yang tdk dpt dimengerti mengapa bebek lbh berarti drpd massa demo ?
81,Muhammad Fahmi Ulul Albab,2020-10-15T06:59:05Z,2020-10-15T06:59:05Z,0,KEADILAN SOSIAL BAGI KALANGAN ATAS DPR DAN KEPOLISIAN HAHAHAA LUCU AMAT NEGRI INI
82,Henny Wensen,2020-10-15T06:27:23Z,2020-10-15T06:27:23Z,0,Berita ga jelas....
83,Henny Wensen,2020-10-15T06:26:30Z,2020-10-15T06:26:30Z,0,Yang brutal siapa.....
84,martin teja,2020-10-15T05:32:08Z,2020-10-15T05:32:08Z,0,Kalau pendemo gak kasar ya gak mgkn polisi terpancing. Masih mending di gebukin kalau di tembakin gimana
85,Irdam Sukiyandono,2020-10-15T04:46:20Z,2020-10-15T04:46:20Z,0,"Betuul mahasiswa itu ...pandemi mematikan sekarang, omnibus law mematikan masa depan.<br>Kalo benar...pemerintah bilangny HOAX"
86,Rita Liana,2020-10-15T00:21:10Z,2020-10-15T00:21:10Z,0,tangkap biang rusuh dan sampah masyarakat ini.
